Batch Correlation Peaks (u)

File 1          File 2 >>	01-Phae.long1-1.wav	10-Phae.long4-2.wav	11-Phae.long4-3.wav	07-Phae.long3-2.wav	05-Phae.long2-2.wav	09-Phae.long4-1.wav	04-Phae.long2-1.wav	02-Phae.long1-2.wav	06-Phae.long3-1.wav	03-Phae.long1-3.wav	08-Phae.long3-3.wav
01-Phae.long1-1.wav	1	0.216	0.184	0.285	0.443	0.195	0.145	0.613	0.36	0.812	0.236
10-Phae.long4-2.wav	0.216	1	0.781	0.29	0.235	0.907	0.289	0.176	0.204	0.209	0.323
11-Phae.long4-3.wav	0.184	0.781	1	0.279	0.186	0.804	0.274	0.127	0.189	0.185	0.393
07-Phae.long3-2.wav	0.285	0.29	0.279	1	0.433	0.281	0.27	0.251	0.635	0.274	0.496
05-Phae.long2-2.wav	0.443	0.235	0.186	0.433	1	0.197	0.243	0.449	0.397	0.363	0.304
09-Phae.long4-1.wav	0.195	0.907	0.804	0.281	0.197	1	0.31	0.164	0.199	0.214	0.322
04-Phae.long2-1.wav	0.145	0.289	0.274	0.27	0.243	0.31	1	0.151	0.302	0.182	0.256
02-Phae.long1-2.wav	0.613	0.176	0.127	0.251	0.449	0.164	0.151	1	0.264	0.448	0.2
06-Phae.long3-1.wav	0.36	0.204	0.189	0.635	0.397	0.199	0.302	0.264	1	0.318	0.377
03-Phae.long1-3.wav	0.812	0.209	0.185	0.274	0.363	0.214	0.182	0.448	0.318	1	0.227
08-Phae.long3-3.wav	0.236	0.323	0.393	0.496	0.304	0.322	0.256	0.2	0.377	0.227	1

Batch Correlation Lags (s)

File 1          File 2 >>	01-Phae.long1-1.wav	10-Phae.long4-2.wav	11-Phae.long4-3.wav	07-Phae.long3-2.wav	05-Phae.long2-2.wav	09-Phae.long4-1.wav	04-Phae.long2-1.wav	02-Phae.long1-2.wav	06-Phae.long3-1.wav	03-Phae.long1-3.wav	08-Phae.long3-3.wav
01-Phae.long1-1.wav	0.000	0.011	0.006	0.028	0.034	0.006	0.023	0.000	0.023	-0.006	0.023
10-Phae.long4-2.wav	-0.011	0.000	-0.006	0.040	0.023	-0.006	-0.028	-0.017	0.040	-0.017	0.057
11-Phae.long4-3.wav	-0.006	0.006	0.000	0.046	0.028	0.000	-0.023	-0.074	0.046	-0.011	0.063
07-Phae.long3-2.wav	-0.028	-0.040	-0.046	0.000	-0.011	-0.046	-0.023	-0.034	0.000	-0.028	0.017
05-Phae.long2-2.wav	-0.034	-0.023	-0.028	0.011	0.000	-0.028	0.017	-0.028	0.023	-0.040	0.006
09-Phae.long4-1.wav	-0.006	0.006	-0.000	0.046	0.028	0.000	-0.023	0.034	0.046	-0.011	0.063
04-Phae.long2-1.wav	-0.023	0.028	0.023	0.023	-0.017	0.023	0.000	-0.057	0.057	-0.051	0.017
02-Phae.long1-2.wav	-0.000	0.017	0.074	0.034	0.028	-0.034	0.057	0.000	0.040	0.000	0.023
06-Phae.long3-1.wav	-0.023	-0.040	-0.046	-0.000	-0.023	-0.046	-0.057	-0.040	0.000	-0.028	0.000
03-Phae.long1-3.wav	0.006	0.017	0.011	0.028	0.040	0.011	0.051	-0.000	0.028	0.000	0.023
08-Phae.long3-3.wav	-0.023	-0.057	-0.063	-0.017	-0.006	-0.063	-0.017	-0.023	-0.000	-0.023	0.000
